video_id,title,channel_title,publish_date,category_id,tags,duration,viewCount,likeCount,commentCount
3ihtcnPwkqI&list=RD3ihtcnPwkqI&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Acoustic songs 2025 🌸 Music 2025 new songs with lyrics that last through love,Acoustic Radio,1 month ago,,,,1300000,,
d4OT-v2POqw&list=RDd4OT-v2POqw&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Trending Songs 2025 ~ Viral Hits Music | Spotify Pop Hits & Top Songs Collection,Dynamic Deep House,3 weeks ago,,,,175000,,
uRiB1tsFIkE&list=RDuRiB1tsFIkE&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,KATSEYE - Gabriela (Lyrics),7clouds,2 months ago,,,,10000000,,
dY8_NUb2o68&list=RDdY8_NUb2o68&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Music Mix 2025 #113 Party Club Dance 2025 | Best Remixes Of Popular Songs 2025 MEGAMIX (DJ Silviu M),Dj Silviu M Official,1 day ago,,,,56000,,
16whabTqSkA&list=RD16whabTqSkA&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,New OPM Trending 2025 Playlist ️💗Best Of Wish 107.5 Song Playlist 2025 - OPM Tagalog Love Songs,OPM Wish 2025,5 months ago,,,,8000000,,
M8vcWjlN6OQ&list=RDM8vcWjlN6OQ&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwHSBwkJBgoBhyohjO8%3D,Omega 256 X Cindy Sanyu - See You Tonight (Official Video),Omega 256,2 months ago,,,,6100000,,
qDtaRJmCR-M&list=RDqDtaRJmCR-M&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Huntrix - Golden (Lyrics) - Top Hits Philippines 2025 🎶 OPM Trending Mix | Best Tagalog Love Songs,Midnight Tears,1 month ago,,,,1000000,,
LiVeu9Tji7c&list=RDLiVeu9Tji7c&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Summer playlist 2025 🌈 Best summer dance songs 2025 ~ Party songs 2025,Love Life Lyrics,5 months ago,,,,1400000,,
miMLHjWRoXw&list=RDmiMLHjWRoXw&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Viral Songs Latest 2025 ~Trending Songs 2025 ~ Top Spotify Mix ~ Pop Hits Playlist,Dynamic Deep House,2 weeks ago,,,,41000,,
v-Wv0r0QIHM&list=RDv-Wv0r0QIHM&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,KAPATI - Alien skin X Sandra NAXX (official Music Video),Alien Skin OFFICIAL,3 months ago,,,,4200000,,
