video_id,title,channel_title,publish_date,category_id,tags,duration,viewCount,likeCount,commentCount
cgAt3UJPR-g,Happy Diwali Full Boom Baam Gameplay | Anony Gaming is Live 🔴,Anony Gaming,2025-10-21T18:45:09Z,,,PT3H38M21S,33731,2161,8
zwhYF34-fC8,I Ate Squid Game.. 🦑🤤 (Squid Game ASMR),Spizee,2025-07-20T16:49:11Z,,,PT43S,55580234,544877,5351
PvpWKeizo6Y,fully legal kill in Hitman #hitman3 #aspecticor #shorts #gaming,Aspecticor,2025-06-24T17:45:02Z,,,PT43S,54103397,1618558,1879
KcERdzAiC3s,Choose a place to hide. Survive until the end. #hideandseek #survive #horror #game,rey AI,2025-05-05T12:11:42Z,,,PT31S,9299675,51669,1140
qcfi94-wyfA,Beast Gaming Phone Concept – DIY Cooling Mod with Heat Sink &amp; Fans!,Vision Of America,2025-09-21T13:49:45Z,,,PT18S,8392031,149452,1438
Z8aQQ1ESIDs,IPHONE vs SAMSUNG 😱 FREE FIRE TEST,Desi Gamers,2025-04-26T06:21:54Z,,,PT35S,1607787,91725,501
ReBRHHf_d2U,Building A Secret Gaming Room For My Dad,Claw Quest,2023-06-07T22:00:17Z,,,PT46S,50936769,1639111,4270
r9FEXa3cxYc,The last game ever? #gaming,Rickster2344,2025-10-16T17:43:06Z,,,PT15S,78034,2872,340
Z-BJqO1nUSQ,I Filled My Base With SECRETS in Steal a Brainrot!,Stay Wild Gaming,2025-09-27T22:46:59Z,,,PT20M3S,2094888,11553,1787
QClfZNvauEg,MY EPIC GAMING SETUP IS USING TOO MUCH POWER ⚡️😮 #gamingroom #gamingsetup #PS5 #gaming,CamXPetra,2025-08-21T21:06:27Z,,,PT16S,18741680,259143,5197
RYPQN8pw3YM,NERF HEAVY WEAPON GUY 6,MacDannyGun,2023-08-04T11:45:04Z,,,PT42S,498045186,7171124,4920
VVm5mRepaTI,Pov: Best Gaming Chair 🔥,Hew Moran,2025-10-02T21:17:35Z,,,PT25S,525090,12387,333
t5q5KMc4Yho,Ryan Davis: UNDER-RATED {FULL COMEDY SPECIAL} Presented by Ali Siddiq,Ali Siddiq,2025-10-12T22:00:26Z,,,PT50M9S,933460,45031,2591
l_EmmeDnE94,Government Shutdown | Zoltan Kaszas | Stand-Up Comedy,Zoltan Kaszas,2025-10-17T18:00:54Z,,,PT15M11S,68195,4420,137
OLGrx-m-0iA,2 Hours of All Killer Comedy | Stand-Up Comedy Compilation,800 Pound Gorilla SFW Comedy,2025-10-12T17:00:36Z,,,PT2H24M26S,113946,977,40
Hb27JRJjT-o,The Stand Up Comedy Situation Just Got Worse,Podcast Cringe,2025-10-19T17:00:31Z,,,PT23M12S,325191,9796,2552
op9StELNuW8,फ़र्ज // बीनणी क्यों रोवे // rajasthani haryanvi comedy // mukesh ki comedy,Mukesh Ka Mix Masala,2025-10-21T07:10:23Z,,,PT13M56S,75475,3387,155
9n8PJUnaCKI,Happy Diwali🔥🤣Ending Twist🔥🤣 #comedy #tamilcomedy #funny #tamil #entertainment #fun #trending,Comedy Kaithi,2025-10-13T13:30:08Z,,,PT20S,18761627,102016,44
YqyqSOa29Yo,ਮਾਮਾ ਬੱਕਰਾ Part.2 | New Comedy Video 2025 | Harpal Gill | Narinder Sarai ,Harpal Gill,2025-10-16T03:31:54Z,,,PT10M8S,70046,1742,62
WSCcmMXuAK0,దీపావళి కి  🪔| బాంబుల హావా🎇|Diwali 2025 |😂Comedy video |Laxmi anil|Srikanth | 5star channel #comedy ,5 STAR,2025-10-21T03:40:07Z,,,PT17M15S,93149,2885,118
piJdpTTo7sI,Indian Parents Forcing Arrange marriage | Stand up comedy by Anand Rathnam ,Anand,2025-09-14T07:30:07Z,,,PT31M15S,330970,8182,538
9wQaPNKgdns,Ithu Item Vere | Comedy Show | Ep#370,Flowers Comedy,2025-10-15T13:30:10Z,,,PT45M20S,720081,14526,993
aiJXAseWELg,டேய் 🤣#funnyvideo#tamilbestcomedy #funnyvideos#viralshort #funny#comedy#trendingshorts#trend,ENNA KATHAI,2025-04-20T10:24:34Z,,,PT44S,1205530,0,144
ArMqJtBKKhI,"സൂപ്പർ ഹിറ്റ് സ്ഫടികം ഇവർ ചെയ്തപ്പോൾ എവിടേയോ, എന്തോ തകരാർ പോലെ  | Comedy Masters | Episode 179",Amrita TV Shows,2025-10-21T12:39:14Z,,,PT8M48S,2264,17,0
yUH_B98TZzI,Tom 🍓 Jerry (Ammu&amp;Nandhu)Real End Twist😍🎈 #shorts #viral #v5familyshow,V5 Family Show,2024-11-09T13:33:25Z,,,PT1M,221218351,3069739,2455
aUI9-KR5mR0,Rudra Ki masti 😂❤️ll Vishal Rajput shorts #vishalsinghrajput #celebratewithshorts #comedy #yt,Vishal Rajput Official,2025-10-13T04:41:46Z,,,PT45S,5391795,56078,69
xHCtnEOwDTo,Diwali Shopping 2025 Paavangal | Parithabangal,Parithabangal,2025-10-12T05:30:26Z,,,PT12M54S,2572273,90398,2344
XxP9Pw3I0tc,Tension Vundadhu 😂 #funny #comedy #jokes #memes #sureshguru #shorts,Suresh Guru Comedy,2025-10-18T09:00:46Z,,,PT14S,1597502,58311,148
K6YhJnt2Jl4,Cutest Video Ever Funny Moments #comedy,THÁNH ĂN TẠP,2025-07-15T00:00:21Z,,,PT13S,10354308,47854,270
